Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
7722.438003451591,8638.826641097394,9454.030404551762,-4304.263905829432,-48.6926764030959,-3701.5683789597597,-12.562275893187426,15.664790674005012,-6.036492917594112,11.0,-175.51706827969622,-175.50221905393883,0.014849225757387785,130.69296435777724,132.4436021128793,1.7506377551020478,0.09012058949637845
2131.2390543702254,7360.911741326345,2522.9693377091344,3550.9134930115,-535.8437337527857,-336.8258964551228,12.39941076332154,17.057325474686508,17.911669935057837,-1.0,-11.940508919778662,-12.02516499609472,-0.0846560763160582,95.35833592983974,99.63448388902341,4.276147959183675,0.14428573129787622
7661.5541522095455,2072.5747212396473,8082.811351264116,-1513.3659086975858,2560.7597431478853,-1147.7641750364846,0.9627854978727726,16.82212510390592,3.774309736626819,-8.0,122.50997743700765,122.56323259936842,0.053255162360770214,111.09987570471326,113.59668692920307,2.496811224489818,0.15022692873485896
8141.474718347918,4968.719024101924,2114.5561190405037,-5199.832832413026,-4792.784202918048,1716.7602298368224,-17.781703547015653,-19.087130990594833,7.476239791748224,-8.0,-137.70100160737067,-137.7432675139924,-0.04226590662173635,76.35458740773147,78.39221495875188,2.0376275510204067,0.11914453293495898
3221.589511700219,8563.379719009601,657.0629793109883,5467.452944391002,-3157.9966578243575,2604.672672948649,4.433624383256177,-17.9407226949419,-1.6537352947654718,34.0,-27.603104401394546,-27.57800066194882,0.025103739445725637,67.58255245830908,67.99868766239072,0.41613520408164106,0.07731793075060227
3422.2742674640626,965.4304607969843,6256.76039205182,-3242.288186844694,2757.206151923669,-972.4343618516941,0.505647584824132,-5.731422409382457,-11.451744438446907,14.0,138.89160019123955,138.88797333416514,-0.0036268570744084627,102.86995178328992,101.86548749757566,-1.0044642857142634,0.13563836099010185
4442.651479450307,9940.21264471374,1381.5179533478383,-1287.8037161224324,-1279.2281832330027,5863.06498206101,6.42760007793791,13.957156851770101,16.558262776299543,16.0,-132.50458455948842,-132.55642506205052,-0.05184050256210071,17.202265128993208,21.04075364940137,3.8384885204081627,0.03699198583444047
1412.983055781102,6547.83881616372,4975.943354405842,591.1200754009626,-5370.554586255564,-3210.4738216436717,1.480285739526579,-11.090754597009752,-9.379748379472117,-19.0,-83.77436909849344,-83.77917402310386,-0.004804924610425587,120.71892527852536,121.8525349724029,1.1336096938775455,0.06188170070751667
3730.478648033171,417.0006374229496,6760.961620103364,-2260.685440419106,3709.582431613474,-5606.7444299219105,12.276817201145832,-4.317915033749884,-15.600356051143258,24.0,123.52560833049709,123.4568317375139,-0.06877659298319827,142.2311469200478,140.3657132465784,-1.865433673469397,0.08775532671580569
5056.744830802598,9274.97645510455,1284.6621441367045,-228.283562339142,-3888.2672709244616,7947.908727961512,-1.5782825838827748,16.0806991962817,-3.6236787614914654,16.0,-92.4240375186763,-92.51167479108379,-0.0876372724074912,26.107688400560953,29.537216461785448,3.429528061224495,0.07617626674460921
5369.0831706630115,41.12898981353141,590.7476239473319,883.897999257395,174.99286681737394,5367.387303076099,0.5806476303533117,3.734181720893332,-0.5746460455230888,-14.0,7.159618348220202,7.202426530006077,0.0428081817858752,9.529709499431009,9.554821106573863,0.025111607142854098,0.01711486886153006
7561.441050734121,6959.850734111123,5157.9693448200105,-4515.907405967082,-5343.151416065644,-1291.2596530748647,-8.973380098754111,-14.804796062150087,-1.771649118609794,-6.0,-130.70657865511882,-130.74345072570992,-0.03687207059110165,100.45759613601123,102.61001960539899,2.152423469387756,0.10587986409862252
164.23130669542928,3320.8946954118755,7310.902338204336,1395.4467677404903,4201.31854284067,-880.5111154387323,4.999638411248043,19.014464882186694,-8.295248609423123,22.0,71.40134447091734,71.38375402337769,-0.017590447539646448,101.2490738808541,101.62933536044594,0.3802614795918373,0.03158818529497834
